user_name,screen_name,days,first_msg,no_of_msg,bot
2011bivorymabel,Mabel Bryan,0.010711683219782,,0,1
Roushdy777,Roushdy Almasry,0.029583894654557,,0,1
Roushdy777,Roushdy Almasry,0.034499571179902,Isn’t,2,1
cupid2018gangie,Angie Frazier,0.007081591310325,,0,1
hiyerhiyer,Hiyer Hiyer,0.002456914338249,Upcy,3,0
alexanderjohnalex,Alexander John,1.40698215962008,,0,1
aamin2890,Mehran Amini,0.035882469680574,Hi,3,0
cinnamonraquelh2000,Raquel Campbell,0.008871539527619,,0,1
Gracexyyy,Grace A,0.003616424812763,Helloo,2,1
lion99lion20,NASR LION,3.19228037335806,WbWN,1,0
georgewilsone,George Wilson,0.010361341949966,,0,1
5luciahunny91,Lucia James,0.006741232375304,,0,1
Miiiikk,Mike Mike,0.004218341752335,Hi ich bin Mike 29 aus Erding Ich bin dominant,2,0
8flip69ellen,Ellen Douglas,0.010936285858905,,0,1
autumn2015obonnie,Bonnie Snyder,0.00231688151205,,0,1
leo.jp,Leo JP,1.26960424184799,Ok,2,0
yadalem,Omar Ruttaming,0.132617644220591,,0,1
gabebabbaswag3004,Gabriel Hudson,0.560046137488551,Kmsp,3,0
imogla,I La,0.033458994809124,pjsw,2,0
glitzy91jade7,Jade Mathis,0.002083851504657,,0,1
snakemaine44,Jermaime Hansford,2.80397306552088,,0,1
GabrielleMartin626,Gabrielle Martin,0.01214265572804,,0,1
man4tgurl,Kathy Kailani,0.158613730867704,Kathy40 mililani single,1,1
allyson408cutie,Allyson Maxwell,0.002867977682639,Anybody seeking a good time?,1,1
._Malik_...,MaLik MaLik,4.08046452433699,21 m uk,2,1
hainans,Hanan Dook,0.00737312498192,Hyy,1,1
apsdhillon1994,Amritpal Dhillon,0.338191695649315,aate,1,0
Lexiielyn,Lexiie Lynn,0.37815788458067,Xyhr,2,0
alexendramorgan,Alexandra Morgan,0.077835410066225,Ckdn,2,0
Kiimera69,Kii .,2.73843230631616,Suws,1,0
i2011emmelineseven,Emmeline Welch,0.000975766921485,anyone chooses to meet me?,1,1
2012lanaccream,Lana Jensen,0.003297064530629,lmao,1,1
Bonaville,Uzan Dubash,0.099793094418667,Heyy there hows it going,1,1
kaannnn35,Kaan Kaan,0.033116620867341,Hi macaroni,2,0
robertanderson007,Robert Anderson,0.002109672280925,,0,1
bayleekittrell27,Baylee Kittrell,0.01964123737205,,0,1
angellina122,Austin Angelina,0.050691020847471,,0,1
kamryn2014trixief,Kamryn Cole,0.002437145831408,let s chat,1,1
jellyfish136,Je Ve,0.008907585941531,I see pizza in the character,5,0
apptesr,Convers sacion,0.277449965256232,,0,1
habibo1122,Anwer Abdelazim,1.79192618670287,,0,1
sophiesandra28,Sophie Sandra,0.046168698919592,Eved,1,1
silviaaa.william,Silvia William ,0.549315773919225,K,3,0
Thicckbbc,Andre Carrington,0.003927017102639,Hi,1,1
Jaswalker123,Jason Walker,0.010394392764127,tbas,1,0
slabofbutter.,moon .,1.61203706250974,Hi,6,0
nippynuck,Ashante Williams,0.514414183340139,Yes ok👍😂,1,1
ctg000,Ctg Bd,0.067545445417916,,0,1
Heritage2221,Taye Samuel,0.004692002286514,How are u,3,1
rajlone88,Raj Lone,0.040205427982189,Hi. Ladiea pm me,1,1
LindaHerlihy,Linda Herlihy,1.74562413706548,PVyC,1,0
yegent,Güngör Yegen,0.500886237011464,Hi,1,0
DeejayDcan,Dickson DeejayDcan,0.079678453896885,,0,1
sicantik123,Sarah Logan,0.202359785909454,wayu,3,0
thousandinonenight,Monique Stevens,0.201167347215944,Bbup,1,0
kitty6love,Kitty Meme OwO,0.726841483982625,Hi,2,1
gregorystacy45,Stacy Gregory,0.939470596211376,,0,1
rossannie0,Ross Annie,4.9948495516926,,0,1
furkan_uzn,Furkan Uzun,0.16801951609276,,0,1
rossannie0,Ross Annie,4.99726486065873,,0,1
DenDuHabenWillst,Mirco W,0.572068502039269,Heyy,1,1
chanjuanh,Chan Juan,0.076223409882298,,0,1
gabrielcorazza,Gabriel Corazza,0.015345920313288,Slv,1,1
mauricerobert321,Maurice Robert,0.970644342813779,Hey,1,1
Anamora299,Ana Morah,0.108108802228062,,0,1
daniela73430,Andrew Daniela,4.82429473199502,,0,1
valesin48,Valentin Rissi,0.507894105776041,,0,1
maurosaldarriaga,Mauricio Saldarriaga,0.013852569775449,Hry,1,1
mattjones548,Matt Jones,0.136934439412974,M ohio n old,1,1
333tinsleywow,Tinsley Nichols,0.002533065351071,:D,1,1
Prince021056,Prince rajput,0.012497307534019,im new,4,1
loser13577,Stephanie Green,0.000967420532748,Woe,2,1
htiggerhaven2007,Haven Gilbert,0.000969189612402,lets chat,1,1
7kensleycherry98,Kensley Espinoza,0.000943121294732,,0,1
Ryansmith7z,Ryan Smith,0.228750560471305,,0,1
tbitty2,Trey B,0.006611093376522,Hey,3,0
glauramissy2006,Laura Pierce,0.000567150033183,lmfao,1,1
y2007rainapickle,Raina Mcbride,0.002267521009953,Who wants to talk?,1,1
Fourleng,Bruno Costa,0.648664518418135,Zbrz,3,0
let5ju5thav3fun,Allbee Noodel,0.005313917917234,Hi. 30 m Vancouver looking for some action tonight with a curvy woman.,3,0
MehRapp,MehRap Demir,0.010944469204104,Hi,1,1
nunukarikaln,Karikalan Nunu,0.378084893152118,,0,1
rancho2019,Rancho D,0.013253143344213,,0,1
rosemaryvernon120,Rosemary Vernon,0.910937982794863,,0,1
7skye98sweetie,Skye Berry,0.00246248608938,;),1,1
tinycamillax2003,Camilla Richards,0.005150250458607,Who wants to talk?,1,1
giantslam3,Kory Martensen ,0.523630619606486,,0,1
lylahh2003melon,Lylah Pierce,0.00319251175004,Hi there boys!,1,1
ash_nav,Ash Nav,3.24277434039171,Hi,2,0
hadleigh352celeste,Hadleigh Baker,0.001164316443933,So i am darn annoyed now,1,1
micheal44445,Micheal Edmonton ,0.040983534546362,,0,1
Lmarz0,Marz Lunar,1.13647404979776,40m 42 f usa,2,0
RubarbRed,Rachel H,0.633082995340228,cpaz,1,0
RobinsonMarkus,Robinson Markus,0.004529992234376,rzad,2,0
2004udizzysophia,Sophia Copeland,0.00624175393471,beautiful,1,1
Nobodyceyrs,Kibriya 😘,0.019206427010121,Uzje,4,0
doodles92camila8,Camila Holland,0.002307790068013,,0,1
rahuldhibar,Rahul Arya,0.355897255744095,Hey,2,0
nbubbledalary2018,Dalary Saunders,0.002316424612094,,0,1
itzjessica490,Jessica 😍😍,0.108432046025991,Hey,1,1
alyssa2006ogoofy,Alyssa King,0.000634966075972,very good,1,1
tealtiffanyt2014,Tiffany Knight,0.001403584176743,:(,1,1
mira_2205,love love,0.685122198694282,I S S d,3,0
mhedosalhi,Mhedo Salhi,0.014115531240349,,0,1
frankmodel,Francesco Nasr,2.23100189445747,Ucxj,2,0
jake12simson29n,Jake Simson,0.045744573719524,Hi,1,1
kali9090,Khadeeja Ali,0.909748501198159,19,5,0
aka_ibi,ابتسام خان🌿,0.009125101053052,ENJOY,2,1
whitney181crimson,Whitney Cunningham,0.001690238325132,,0,1
nillsagar,sagar shomudro,0.006925563310032,,0,1
adedejipaul,Paul Adedeji,0.132691337419329,N b j k,5,0
nolahoney2006s,Nola Caldwell,0.002295127599328,,0,1
blackandwhite444,Black And White,0.028498318120837,Hey peeps,1,0
heavensnatcher,vinu vincent,2.5862944929219,,0,1
guardian341kinsley,Kinsley Francis,0.003306615449212,Who wants to discuss?,1,1
2009xclaretdallas,Dallas Hubbard,0.002699682505594,Who wishes to talk?,1,1
6tinsleycuddles17,Tinsley Webster,0.002904829622971,let s chat,1,1
41angelicmarina5,Marina Bennett,0.003225040099135,:(,1,1
liftyouup13,Rene Nippert,3.29380152171961,,0,1
Tom1807_,Tom m,0.097846287571722,,0,0
nadeemiqbal143,Nadeem Iqbal,0.002458725933124,,0,0
zc8882,Zach Collins,1.15124051744187,Eukz,2,0
madalynn91golden7,Madalynn Vaughn,0.001419570001739,someone really wants to flirt with me?,1,1
jack.2005.,Jack Molan,0.507236476692337,Hi,1,1
mosesmlatawu,MosesMlatawu Moses Mlatawu,0.002633591164593,Mozato,1,1
2015troyaltykute,Royalty Watson,0.002964191958308,searching true man,1,1
brandonyt229,Brandon Moulaison,0.075247619378346,Hey,4,0
h0ck3y88,Frank Bukman,0.038985948915835,Hello everyone,2,0
thereisnomeme,Cock Ball,0.002024727182256,zwbf,1,0
72superkarter9,Karter Anderson,0.002646285397587,Who wishes to chat?,1,1
mikaylaicingf2007,Mikayla Pitts,0.000743900079418,Hi there everyone!,1,1
2001nbrassnathalie,Nathalie Ryan,0.002680241744275,searching a good man,1,1
lovee._x,lovee 😝,0.175845604825903,Xrve,2,0
junet2005charm,June Phillips,0.002157042931627,,0,1
JroneyTha1AndOnly,Josh Warren,0.460092651063093,Was crackin,2,0
Evelynmila101,Evelyn Mila,2.44323776360187,,0,1
angelicmilenae2004,Milena Dennis,0.003300278567606,Who wishes to discuss?,1,1
Username unavailable,Tarun 🏹,3.40513679426025,,0,0
sweetjayleee2000,Jaylee Joseph,0.002108773724348,Someone looking a great time?,1,1
angelinareyes24,Angelina Reyes,0.010937050186374,Hi,1,1
elizawsweetie2014,Eliza Roy,0.003179109698093,lol,1,1
zariyah337carot,Zariyah Wong,0.001357636269596,,0,1
sophia1squeezie40,Sophia Wong,0.002411690174981,Hello boys!,1,1
tosi1122,Tosi 11,0.209642831699716,Hey,1,1
tasha568,Natasha White,0.363995515149501,Hello,1,1
reeha23,innocent female ,1.81195418179587,🐵🔫👮,1,0
faith1999hugb,Faith Perez,0.004417025052287,browsing a good man,1,1
kaydencegigglesw2006,Kaydence Soto,0.004718510941775,Someone searching a great time?,1,1
48cynthia9secret,Cynthia Norris,0.003050222024322,,0,1
JohnL737737,John L,0.001607389408681,Ybey,1,0
alexfly1050,WildRescuers RV,0.720029830085459,,0,1
lexi4368,Lexi Rain,0.020471250525227,Hello,1,1
Pedrick933,Keith Pedrick,0.024860159873411,,0,1
645belleheart,Belle Hunter,0.000416946678802,Someone looking a good time?,1,1
hana341cream,Hana Dixon,0.002005451076009,I m really tired right now,1,1
deep9873862419,Deep Chauhan,1.0417631172168,Male 27 India,2,0
virjhuncaidoy,Virjhun Caidoy,0.030927677378058,C K d m,2,0
a2001arineon,Ari Pope,0.001417728977071,Anybody wanting some fun?,1,1
PopDemand100,Charity Tor,0.658064756567279,😊,2,0
2013wsweetdiana,Diana Hardy,0.000713235636552,:/,1,1
rillaty,Tyson van,0.851991810922821,,0,1
2006fairycarolyna,Carolyn Barnes,0.001763422199421,,0,1
shomudrooo,nill shomudro,0.004146219227049,tzzr,1,0
37emoryfurry7,Emory Summers,0.001651856667466,searching true man,1,1
rbristolbreezy2009,Bristol Acosta,0.0003223776431,Who wants to chat?,1,1
pebbypebby,pebby crusher,0.020249474879216,swcd,2,0
1999kelseydiamondk,Kelsey Cross,0.004525806843131,browsing a real man,1,1
mariamdimple726,Mariam Pratt,0.002796936598089,let s talk,1,1
amarsky2305,Amar Sky,0.03168503165521,,0,1
wood.y588,Johan Rodriguez,0.021830572483164,Hello there,1,1
rocksuttono2010,Sutton Gibson,0.002077412127897,,0,1
floraerica10,Flora Erica,1.53839093325315,,0,1
pinkyy_bo,Pinky Boo,0.008448511254456,S a k w,1,0
lokky.94..,Lokky C,0.007164078705289,Rules read,2,0
chum74amina4,Amina Phillips,0.002817585161991,omg,1,1
Noc_angel06,Danny Wilson ,0.002355451779785,,0,1
liatbubble2013,Lia Barnes,0.008756057584175,Any one looking some entertaining?,1,1
gamesb20,Hugo Souza,4.02997621060797,,0,1
mister_leooo,Leo M,0.007176001521724,,0,1
humanbeingwhy,hava nana,0.014366796687245,Y Y V X,2,0
ACTAZZ,Adam Tambor,0.247381517768458,,0,1
acharlee2003doc,Charlee Hudson,0.002610663352189,someone really wants to talk with me?,1,1
syaavivii,Vivi Marsya,0.035163544631667,,0,1
92alannadoodles1,Alanna Fletcher,0.003399613582426,Who wants to talk?,1,1
janellecerulean2005a,Janelle Sullivan,0.002306221425533,Hi boys!,1,1
balatei,basel alateit,0.001329757667802,,0,1
2002aicemaliyah,Maliyah Powell,0.006102678016932,Who wishes to speak?,1,1
46ellis6peanut,Ellis Fletcher,0.004400064840361,,0,1
fizzy2006reden,Eden Larson,0.004917127848775,Hello guys!,1,1
deejohann,noer djohann,0.008503717727683,m6ps,2,0
a2000reesechic,Reese Stevenson,0.003024867337059,,0,1
09gucci01,Patrick Mrozik,4.04000437665317,,0,1
1999bamiyasweet,Amiya Hill,0.002597265555351,,0,1
claret651madalyn,Madalyn Simmons,0.005012605452427,,0,1
4furryjocelyn76,Jocelyn Morrison,0.001305285970922,I am darn bored right now,1,1
yisse34,Yolanda R.,0.202587104806745,hvrt,1,0
fudgy289erica,Erica Hodges,0.004399849554455,lets talk,1,1
blackjordan972,Jordan Ross,0.000993829951794,Who wants to talk?,1,1
mayacuddles2010,Aya George,0.000838480848405,,0,1
rameshdarling1,Ramesh Ramesh,2.01214554932658,ENJOY,2,0
Black4211,Black Solomon,0.012846143789314,C w b j,3,0
Carosrose,Carlos Rose,4.48683563090309,,0,1
stewartwood25,Stewart Wood,0.84279402066988,,0,0
annabel86bordeaux4,Annabel Kirk,0.002224643288387,,0,1
jjjjack83,Martin Jackson,0.01263363411857,Hello,3,1
Mel_Mel_Sa,Melissa Meyer,1.31455554480906,Fxet 🤷🏼‍♀️😂,1,0
deenoonn,Denis Denis,0.061446542301112,,0,1
97naya8tulips,Naya Ingram,0.001678959092608,Any one wanting some entertaining?,1,1
doll436kamilah,Kamilah Hood,0.002497942627028,funny!,1,1
xle0nardox,Leonardo Bianchi,0.914648075567351,hjex,1,0
Omi_AbHa420,omar abdel-hamid,0.007335322584819,Hello,2,1
louisaecherry2005,Louisa Carr,0.001199380374617,:*,1,1
2013yblingjordan,Jordan Terry,0.005518877257903,,0,1
jakesmith1819,Jake Smith,0.036652306525244,,0,1
activemarine,Alex Kassy,1.05778732632321,,0,1
angelicagirly534,Angelica West,0.003534573313815,Someone wanting some entertaining?,1,1
bunnyeileen2009k,Eileen Wilkins,0.002264616412145,I m just dang tired these days,1,1
jullianluxton,Jullian Luxton,1.89582776641128,Jzdz,1,0
jenniferowen122,Jennifer Owen,0.550466440811201,,0,1
anissakate700,Anissa Kate,0.000541906075345,,0,1
Marysmith2411,Mary Smith,4.15661817734992,,0,1
mrbrokeasfk,Lil robby,0.003226541220038,Anybody in this GroupChat wanna Trade Their Instagram account I have an account with 12k followers,2,1
2006emberwfresh,Ember Conley,0.002338868252657,:(,1,1
whitesosa66,White Sosa,0.026652384361735,Heyyy,1,1
i2008megaoaklynn,Oaklynn Boyd,0.001976070693798,browsing a good man,1,1
carolina1470,Carolina Wyne,0.006828456349947,,0,1
praise0900,Prãïsë 💙💙,2.62516952866205,abre,1,0
gironogiovannax,Jolyne 💞,0.007015617051058,,0,1
hgoofyaurelia2002,Aurelia Day,0.000973111217221,Someone looking some fun?,1,1
mate0w,Mateo Mateo,0.014157350910483,,0,1
sandrasanders12,Sandra Sanders,0.042230569979659,Hey,1,1
adam18381,Adam SH,0.01310771179144,Wtf is Asl,4,0
854charcoalreign,Reign Reyes,0.002344115994595,someone wishes to speak with me?,1,1
brixtonc,Brixton Canaan,0.022499695022901,,0,1
jordon_2skinny,Jordon Morrison,2.96541118114083,Hi,2,1
wmary9347,Mary William,0.671994130409978,,0,1
49gabrielaicy2,Gabriela Hampton,0.002174847730332,lmao,1,1
raja102040,K D,0.058618184093524,Hii,1,1
aljunjames,Aljun Taclob,0.125133135398781,,0,0
kylabionico2000,Kyla Casey,0.001573069059738,:*,1,1
hadley229monster,Hadley Banks,0.001896172447337,,0,1
Meenah20,Meenah Daniels,0.038269733477522,,0,1
johanna27dizzy3,Johanna Henry,0.000555835805005,ideal,1,1
8girlyazaria24,Azaria Snyder,0.0022725257719,kind,1,1
sizzlin1999juliety,Juliet Graham,0.002162381280903,Anybody seeking some entertaining?,1,1
dfairy2004anais,Anais Mccormick,0.00257767084848,I m so damn annoyed right now,1,1
lime647stevie,Stevie Martinez,0.004943373895906,lets chat,1,1
EwdinSp,Edwin Sunled,2.75377251867343,Hello,2,1
logancarpenter865,Logan Carpenter,1.63921029442714,,0,1
logancarpenter865,Logan Carpenter,1.64035142341974,,0,1
logancarpenter865,Logan Carpenter,1.64124616883419,,0,1
logancarpenter865,Logan Carpenter,1.64383088117672,,0,1
logancarpenter865,Logan Carpenter,1.64467860648202,hpnt,2,0
fancyr2013tinley,Tinley Hanson,0.003782735806372,lets talk,1,1
2016rarianaclumzie,Ariana Roberts,0.001055374614618,,0,1
danielakpolka2018,Daniela Garcia,0.001181673035026,Hiya everyone!,1,1
tbitt__1,Trey B,0.011823978666906,19 m Texas,2,0
2009dpizzaalessia,Alessia Bridges,0.001098399501708,wanting true man,1,1
danisilva66,Daniel Silva,0.02867298586501,,0,1
vanessa_c97,Vanessa C,4.44452172340342,Hey,1,1
MALiiiekk1,Maliek E,0.014854711169998,,0,1
1mmmnorah60,Norah Burke,0.006767496353498,,0,1
ariannaxbunny2001,Arianna Ryan,0.00166452465234,Anybody searching a great time?,1,1
lilithscharm2012,Lilith Nichols,0.001353362994613,;),1,1
aslangibiyiz,Aslan Tepe,0.028855828107507,,0,1
nikkirog8888,regor remmeh,1.1441823165643,Hey,3,0
xtwittieann2011,Ann Evans,0.002269318302472,searching true man,1,1
2010wrheacrystal,Rhea Bass,0.003006335629357,lmao,1,1
Rain_sapphire_,Rain FAR,3.92491082339927,d f d m,2,0
75rebeccamagic1,Rebecca Bradley,0.001589143957805,fantastic,1,1
2004imakaylamuffin,Makayla Mcdonald,0.003842049373521,I m damn tired nowadays,1,1
bubblyq2008savanna,Savanna Fletcher,0.001770994296228,lets chat,1,1
SweetyDonn,Linda Sinclair,0.017769857393923,,0,1
shinyyamilethq2008,Yamileth Rogers,0.002569745105726,I m just dang tired nowadays,1,1
bettynelly8,Betty Nelly,3.32814502359816,,0,1
furryrayne159,Rayne Huff,0.001971053362445,Wassup boys!,1,1
dazzlin2018qjenesis,Jenesis Morrow,0.001367322987428,I m really bored currently,1,1
babezaria2010j,Zaria Moran,0.007496560133166,;),1,1
adejuwonusma,Roseline Brighten,3.47040412383499,Hello,2,1
nanan03,Nanan 3,0.241283226970721,"Hey guys, nice to know you ☺️",1,0
evanssmith5464,Evans Smith,0.602659486126569,,0,1
1navydylan91,Dylan Tate,0.002501135032486,somebody needs to meet with me?,1,1
aitanapinkm2011,Aitana Berry,0.00303561837033,Someone wanting a good time?,1,1
jjsmitttth,John Smith,0.066758087155996,Hello here,1,0
athos3210,Florian König,0.745204096566196,Xdne,1,0
adellaah032,Adella Ah,0.006727237814554,,0,1
XYashtraY,X Y,0.734438629652615,,0,1
LitteAngel19,Little Angel,0.010270362466022,Yes ok,1,1
peanut71marlee9,Marlee Sawyer,0.002321429547888,Now i am darn bored now,1,1
Da_blazer78,David Blessing,3.20427832671062,28,3,0
kenley2012huggableg,Kenley Hill,0.006882652640343,let s chat,1,1
jurnee243vanilla,Jurnee Lane,0.005569880163228,:(,1,1
Ole1324,Name NACHNAME,3.02630491670359,,0,0
kserena1999daisy,Serena Drake,0.00135311388859,Anybody wanting some fun?,1,1
6tan66kimber,Kimber Buchanan,0.002238715183404,Now i m really lonely nowadays,1,1
seem.seem89,Wasem Shoman,3.6352161447014,👋,1,1
69send_nudes69xX,Dean Turner,3.87674309991024,,0,1
stoell83,Mike Atoll,0.002635552902465,Zuvv,2,0
prithviforreal,Prithvi Raj,0.352136958034502,,0,0
Rose69608988,Rose Kate,0.618019421773928,Ypur,1,0
iloveyouuwu,Angel Medina,0.655329788528659,16 male oregon,1,0
slippincindy,Slippin  Cindy (pm open ),0.123295020331387,,0,1
kglitterisabel2017,Isabel Gutierrez,0.002628096317252,lmfao,1,1
jully123455,Robertson Julianah,1.13537925524844,,0,1
Username unavailable,Deb Render,0.001702241257385,,0,1
Wrightgeorge22,Wright George,0.013981526256711,Skaa,1,0
jasontsui69,Jason Tsui,1.60863876043095,PJMV,3,0
K_i_c_h_u,Ki Chu,4.09739188389922,,0,1
avalostay,Avalos Taylor,0.003463468587509,Hello,1,1
samerhh90,Samer Hh,0.890656627921595,Hi,1,1
elizabethselfors,Elizabeth Selfors,0.473437318283099,,0,1
echloe2009silver,Chloe Copeland,0.003837626041086,Anybody searching a good time?,1,1
599tigeradele,Adele Hoffman,0.004087348378919,Who wants to talk?,1,1
david50025,David 187,3.24833777078324,Hy bin david aus der naähe  Bremen  und binn26      bin bi,1,1
2017emersonmsqueezie,Emerson Haynes,0.002534697963684,:*,1,1
charolynar,Nikki Benz,1.04120400216568,Hi,1,1
hamidnongghel,Hamid Nongghel,1.44713149093919,,0,1
K_i_c_h_u,Ki Chu,4.16087876771611,jbvd,1,0
dolliedalary887,Dalary Beck,0.002751259304307,Who wants to meet?,1,1
K_i_c_h_u,Ki Chu,4.16824849483316,😠,1,0
elaine345dimple,Elaine Tate,0.002499922748517,,0,1
K_i_c_h_u,Ki Chu,4.17680782770393,😠,2,0
Raulkevin808,Raul Kevin,0.168721075140768,Hdwj,1,0
K_i_c_h_u,Ki Chu,4.2019146423373,Vdxy,1,0
413celiashy,Celia Roberson,0.004355261049889,,0,1
258reaganchum,Reagan Mills,0.001410619760001,,0,1
8huggablebriella83,Briella Cross,0.002784329807317,beneficial,1,1
jessie82m1,Clara Scott,3.89174053198761,,0,1
marianbacili,marianbacili@gmali.com bacilli,0.000724296914759,,0,1
kenna2015akarot,Kenna Schwartz,0.001563719337185,,0,1
EmmmaBright95x,Emma Bright 💁🏻,0.011765635300566,,0,1
xscout2018munchkin,Scout Fernandez,0.002505478147003,,0,1
69jasmine1gold,Jasmine Gonzalez,0.001282040344344,Hello guys!,1,1
josieP101,Josi Phene,0.0095939065516,,0,1
fudgyveronica751,Veronica Obrien,0.000748838895449,,0,1
showcindy48,Last First,3.3356065695788,Ekax,1,0
pheather2000hayden,Hayden Powers,0.002024290445778,high quality,1,1
2muchgamble,Steven King,0.003131643564061,WXPb,1,0
franco1234556789,Franco Soso,0.021110621503106,"Name firas , age , 38 from Middle East",1,1
katecolby,Kate Colby,0.081519940986677,,0,1
bunnied2001charlie,Charlie Rogers,0.004179703068954,somebody needs to talk to me?,1,1
446teaganprinky,Teagan Drake,0.002552927715911,,0,1
quileskancauski,Qiiles Ha,2.45651044642208,,0,0
victowale,Vicroria Wales ,0.001282525021169,,0,1
Samueljohnson77,Samuel Johnson,0.050924416725282,Hello House,2,0
stoffhundi,Flo Nullnull007,0.020124785367537,,0,1
e2008fizzytessa,Tessa Webster,0.001416279576995,anyone wants to meet me?,1,1
350freshmilana,Milana Carpenter,0.002196445914882,,0,1
Kreso6996,Maria Gaisc,0.139023243415135,19 münchen,1,1
Username unavailable,Deb Render,0.0014598271913,nvuc,3,0
ettagiggle2009a,Etta Bush,0.002157261139817,tidy,1,1
tulips2015vmylah,Mylah Mitchell,0.002642043917267,seeking a good man,1,1
marcjakson,Marcus Jackson,0.025044305388022,,0,1
jacob_2596,Jacob Smith,0.02583961226598,,0,1
halov2014sunny,Sunny Fleming,0.001360106029444,:/,1,1
zacheousonabanjo,Nelson Bernado,1.03075071007289,,0,1
870micahninja,Micah Ortiz,0.001028992735125,,0,1
princessgirlie2008u,Princess Schwartz,0.004696944725734,Hi there boys!,1,1
janet_atwell,Janet Atwell,0.03259881966092,28 female Kentucky,3,1
lin921,Lin (Taken),2.05663650940966,jddv,1,0
sugary2016zoieg,Zoie Wilkerson,0.004330945426115,,0,1
aubree9violet39,Aubree Johnson,0.004022198471206,I m damn lonely currently,1,1
886addisynpiggy,Addisyn Harper,0.003273969850054,Anyone looking some entertaining?,1,1
munchkinc2006finley,Finley Cooper,0.003189214313472,lmfao,1,1
nicholas_crispin,Nicholas Crispin,2.11725995360977,Hi,1,1
281pennycaramel,Penny Kennedy,0.001731984135177,lets talk,1,1
haroldolivia,Harold Olivia,0.002501650728561,Hello,1,1
Antop69,Arthur Torres,1.88436896368585,Frey,3,0
heartanais432,Anais Allen,0.00143860053685,Gday guys!,1,1
358huggyathena,Athena Cole,0.001725282798763,Someone wanting a great time?,1,1
heliumpoet,Shane Law,4.75841140575155,Hey,1,1
crazymexicanthugg,Juice Box,0.01538097826695,Fhep,3,0
onedeg,Dave Degle,0.046370182418161,,0,1
cupid787laura,Laura Rodgers,0.002013582349927,Hiya boys!,1,1
